siteid,station name,station contry,total samples,imbalance degree,weight factor,f1,recall,precision,f2,roc_auc,accuracy,log_loss
415421,Östad,Sweden,874,20.85,20.85,0.2222,0.2,0.25,0.2083,0.9474,0.9361,0.1174
415425,Raisting,Germany,1066,3.2984,3.2984,0.7438,0.7258,0.7627,0.7329,0.9292,0.8839,0.3738
415426,Falkenberg,Germany,1636,3.661,3.661,0.8182,0.8182,0.8182,0.8182,0.9621,0.9218,0.2122
415428,Chaumont,Switzerland,7153,1.9412,1.9412,0.8526,0.8799,0.8269,0.8688,0.9593,0.8966,0.2601
415430,NOIA,Spain,3865,3.7657,3.7657,0.6787,0.6502,0.7097,0.6613,0.9141,0.8707,0.3827
415435,Payerne,Switzerland,8309,3.0159,3.0159,0.8126,0.8243,0.8011,0.8196,0.9651,0.9052,0.3266
415436,Vorhegg,Austria,6162,2.2552,2.2552,0.7944,0.8312,0.7606,0.8161,0.9376,0.8676,0.3213
415440,Birkenes,Norway,7031,12.3163,4,0.5616,0.6212,0.5125,0.5959,0.9368,0.9272,0.1656
415441,La Tardière,France,4234,6.2624,2,0.7733,0.7945,0.7532,0.7859,0.9721,0.9358,0.1532
415442,"""Risoe""",Denmark,1790,8.5722,3,0.5455,0.5106,0.5854,0.524,0.9444,0.9107,0.1833
415443,Jungfraujoch,Switzerland,7196,0.4261,0.4261,0.8936,0.8883,0.899,0.8904,0.9175,0.8516,0.4091
415446,"""Topolniky - Aszod/EMEP""",Slovakia,5346,2.7728,2.7728,0.7812,0.7944,0.7684,0.789,0.9477,0.8818,0.3113
415447,Ähtäri II,Finland,5586,13.7778,4,0.6122,0.6383,0.5882,0.6276,0.9603,0.9456,0.1257
415448,AT0PIL1,Austria,7064,2.5214,2.5214,0.8443,0.8586,0.8304,0.8528,0.9662,0.91,0.2224
415449,Giordan Lighthouse,Malta,3665,0.8454,0.8454,0.8611,0.8732,0.8493,0.8683,0.9291,0.8473,0.5031
415450,"""Vilsandi""",Estonia,5535,5.451,4,0.6746,0.7944,0.5862,0.7417,0.9302,0.8815,0.2723
415451,Sibton - UKA00012,United Kingdom of Great Britain and Northern Ireland,9252,10.8312,4,0.6528,0.6429,0.6632,0.6468,0.9569,0.9421,0.147
415452,Kårvatn,Norway,7737,12.5499,3,0.6561,0.7203,0.6023,0.6931,0.9695,0.9442,0.1271
415455,Roquetas,Spain,2044,5.0653,4,0.7356,0.7529,0.7191,0.7459,0.9519,0.9102,0.2147
415456,Utö,Finland,8261,8.4519,4,0.5746,0.7032,0.4858,0.6454,0.9252,0.8896,0.2288
415458,Auchencorth Moss - UKA00451,United Kingdom of Great Britain and Northern Ireland,3127,50.2623,2,0.32,0.2667,0.4,0.2857,0.7352,0.9783,0.2409
415459,Hohenwestedt,Germany,2984,9.8116,3,0.7286,0.7391,0.7183,0.7349,0.9706,0.9491,0.1239
415461,Hurdal25,Norway,5540,16.205,4,0.6509,0.679,0.625,0.6675,0.9554,0.9574,0.12
415464,AT60156,Austria,7037,1.8501,1.8501,0.8424,0.8493,0.8357,0.8465,0.9582,0.8886,0.2593
415466,VÍZNAR,Spain,5844,1.432,1.432,0.8417,0.8536,0.8301,0.8488,0.945,0.868,0.3403
415467,AMS Rozhen peak,Bulgaria,3797,1.9007,1.9007,0.8151,0.8563,0.7778,0.8393,0.9402,0.8663,0.3061
415468,Bush Estate - UKA00128,United Kingdom of Great Britain and Northern Ireland,8647,42.6717,4,0.433,0.4286,0.4375,0.4303,0.9368,0.9746,0.0791
415469,Kovk,Slovenia,6272,1.9895,1.9895,0.833,0.8282,0.8378,0.8301,0.9549,0.889,0.269
415472,Le Casset,France,4188,1.0509,1.0509,0.8632,0.8708,0.8558,0.8678,0.94,0.8653,0.3136
415474,Krvavec,Slovenia,7197,0.8421,0.8421,0.8999,0.9017,0.8981,0.901,0.9573,0.8911,0.3792
415476,Aukrug,Germany,1817,7.6938,3,0.75,0.75,0.75,0.75,0.9597,0.9429,0.1493
415477,Murnauer Moos,Germany,925,3.0393,3.0393,0.8696,0.8772,0.8621,0.8741,0.9541,0.9353,0.2155
415478,"""Lahemaa""",Estonia,5542,8.2676,2,0.5865,0.5235,0.6667,0.547,0.9531,0.9206,0.2219
415479,Neuglobsow,Germany,7624,5.348,2,0.7669,0.7708,0.7632,0.7692,0.959,0.9261,0.1861
415481,Schauinsland,Germany,9160,1.8421,1.8421,0.8352,0.8176,0.8536,0.8246,0.9582,0.8865,0.2702
415482,Zarodnje,Slovenia,6816,2.1425,2.1425,0.8061,0.8782,0.7449,0.8479,0.9473,0.8657,0.288
415483,Asa,Sweden,811,16.6304,3,0.6667,0.7273,0.6154,0.7018,0.9422,0.9606,0.1039
415486,Puy de Dôme,France,2580,1.8603,1.8603,0.7531,0.8,0.7115,0.7806,0.8904,0.8171,0.4021
415487,Achenkirch,Austria,1149,4.0175,2,0.6667,0.569,0.8049,0.6044,0.9089,0.8854,0.6242
415489,Revin,France,6092,5.6945,2,0.7639,0.7841,0.7448,0.7759,0.9589,0.9278,0.1801
415491,Kamenicki vis,Serbia,696,1.4594,1.4594,0.8481,0.9437,0.7701,0.903,0.9441,0.8629,0.3128
415493,Lille Valby,Denmark,5428,10.4274,4,0.6762,0.7983,0.5864,0.7445,0.9575,0.9329,0.1566
415495,PEÑAUSENDE,Spain,4812,2.2339,2.2339,0.8113,0.8495,0.7764,0.8338,0.9513,0.8779,0.2673
415496,Öhringen,Germany,996,2.4464,2.4464,0.7945,0.8056,0.7838,0.8011,0.9529,0.8795,0.2636
415498,Zugspitze-Schneefernerhaus,Germany,3819,0.7234,0.7234,0.8639,0.8592,0.8686,0.8611,0.9207,0.8429,0.577
415500,Sandve,Norway,5820,14.6032,14.6032,0.6184,0.6882,0.5614,0.6584,0.958,0.9457,0.1339
415502,Wiesenburg,Germany,2342,6.097,2,0.7248,0.6506,0.8182,0.6784,0.9542,0.93,0.2595
415504,Osen,Norway,3911,12.8688,12.8688,0.5616,0.5775,0.5467,0.571,0.9447,0.9346,0.1509
415506,IMGW-Jarczew,Poland,6234,4.5413,3,0.7473,0.7473,0.7473,0.7473,0.9556,0.9089,0.2653
